Fecha,Empresa,Precio_Apertura,Precio_Cierre,Precio_Maximo,Precio_Minimo,Volumen,Ingresos_Millones,Ganancia_Millones,Sentimiento_Reporte,Tendencia
2026-02-15,TechCorp,166.25,161.73,170.93,158.46,202617,76.22,9.59,Neutral,Baja
2026-02-16,TechCorp,131.17,134.09,136.52,127.81,71689,147.95,19.06,Positivo,Alza
2026-02-17,TechCorp,152.01,153.54,158.39,151.31,61174,148.9,15.8,Positivo,Alza
2026-02-18,TechCorp,154.67,150.34,159.51,148.15,138461,125.85,15.77,Positivo,Baja
2026-02-19,TechCorp,118.49,117.11,122.83,113.79,176174,112.89,16.01,Positivo,Baja
2026-02-20,TechCorp,196.96,203.77,205.6,194.2,153033,94.76,11.99,Positivo,Alza
2026-02-21,TechCorp,177.51,175.62,179.74,171.27,59348,135.1,15.31,Positivo,Baja
2026-02-22,TechCorp,193.95,190.83,198.28,187.37,204786,124.78,14.74,Positivo,Baja
2026-02-23,TechCorp,189.48,190.84,192.77,188.25,88102,83.01,14.04,Negativo,Alza
2026-02-24,TechCorp,159.79,167.6,168.86,158.97,124460,142.87,18.71,Positivo,Alza
2026-02-25,TechCorp,192.19,190.34,195.2,186.95,152634,135.8,21.0,Neutral,Baja
2026-02-26,TechCorp,108.85,112.59,117.3,108.23,139930,145.98,25.62,Positivo,Alza
2026-02-27,TechCorp,119.6,124.5,128.13,116.46,56801,128.06,26.07,Neutral,Alza
2026-02-28,TechCorp,104.52,102.61,107.59,97.88,153150,119.07,12.61,Neutral,Baja
2026-03-01,TechCorp,132.53,137.0,137.94,129.44,253339,103.46,22.75,Neutral,Alza
2026-03-02,TechCorp,138.87,138.65,142.14,136.4,229208,144.62,28.08,Positivo,Baja
2026-03-03,TechCorp,127.13,130.35,135.31,123.74,204697,139.29,15.64,Positivo,Alza
2026-03-04,TechCorp,182.87,186.11,187.24,180.31,263945,73.62,17.01,Positivo,Alza
2026-03-05,TechCorp,135.68,137.65,140.48,132.72,281915,72.11,17.17,Negativo,Alza
2026-03-06,TechCorp,128.09,124.26,132.54,119.52,253664,100.12,10.93,Neutral,Baja
2026-03-07,TechCorp,154.27,160.13,163.96,152.03,258124,134.84,19.08,Negativo,Alza
2026-03-08,TechCorp,114.09,113.26,117.73,108.43,225333,148.98,32.91,Positivo,Baja
2026-03-09,TechCorp,180.22,177.64,183.88,173.07,51542,82.03,17.41,Neutral,Baja
2026-03-10,TechCorp,107.46,102.99,109.58,101.61,71677,117.53,15.01,Negativo,Baja
2026-03-11,TechCorp,198.69,201.37,203.19,197.88,227804,100.47,13.2,Positivo,Alza
2026-03-12,TechCorp,177.22,181.03,185.17,176.27,231415,147.59,22.96,Positivo,Alza
2026-03-13,TechCorp,119.87,115.09,124.02,114.51,89081,137.37,23.72,Neutral,Baja
2026-03-14,TechCorp,100.55,102.21,106.61,99.63,243928,137.07,26.42,Neutral,Alza
2026-03-15,TechCorp,181.55,179.49,186.16,175.92,143105,107.5,16.7,Neutral,Baja
2026-03-16,TechCorp,170.69,174.08,176.88,169.87,269930,103.19,17.48,Positivo,Alza
2026-03-17,TechCorp,172.9,170.17,175.66,168.23,69065,91.87,19.49,Neutral,Baja
2026-03-18,TechCorp,177.13,181.11,185.2,172.83,264532,74.51,7.86,Positivo,Alza
2026-03-19,TechCorp,107.4,107.43,110.85,106.8,138092,139.18,19.19,Positivo,Alza
2026-03-20,TechCorp,135.85,143.03,146.69,131.68,104693,135.03,27.95,Positivo,Alza
2026-03-21,TechCorp,111.59,108.38,115.67,106.61,76962,149.98,35.14,Neutral,Baja
2026-03-22,TechCorp,186.31,185.74,190.82,184.71,78295,149.73,26.47,Neutral,Baja
2026-03-23,TechCorp,162.33,158.81,164.35,155.17,63807,114.43,20.58,Positivo,Baja
2026-03-24,TechCorp,133.09,140.11,142.3,129.76,223420,131.52,15.27,Positivo,Alza
2026-03-25,TechCorp,106.36,112.77,113.69,101.91,207504,145.58,24.33,Negativo,Alza
2026-03-26,TechCorp,131.1,129.45,134.2,125.64,264357,137.97,24.82,Positivo,Baja
2026-03-27,TechCorp,132.52,136.1,136.76,128.4,288067,89.79,12.24,Neutral,Alza
2026-03-28,TechCorp,172.96,178.58,181.18,171.19,272864,106.04,14.89,Positivo,Alza
2026-03-29,TechCorp,163.76,165.98,168.92,162.46,238926,80.33,12.58,Positivo,Alza
2026-03-30,TechCorp,188.72,190.61,192.4,184.84,221334,146.32,15.07,Positivo,Alza
2026-03-31,TechCorp,147.22,145.36,150.38,141.23,218152,118.49,17.57,Positivo,Baja
2026-04-01,TechCorp,111.96,108.17,112.6,103.21,182396,88.29,11.63,Neutral,Baja
2026-04-02,TechCorp,171.32,177.98,178.65,168.96,141267,123.74,18.45,Positivo,Alza
2026-04-03,TechCorp,176.08,182.79,186.99,173.91,216981,119.45,14.09,Positivo,Alza
2026-04-04,TechCorp,156.13,159.36,161.48,152.14,270411,98.65,23.04,Negativo,Alza
2026-04-05,TechCorp,177.1,176.51,178.17,174.48,69870,79.08,14.95,Positivo,Baja
2026-04-06,TechCorp,149.38,148.92,152.23,144.23,215650,123.73,24.98,Positivo,Baja
2026-04-07,TechCorp,152.27,156.71,160.67,147.91,253196,111.62,24.38,Negativo,Alza
2026-04-08,TechCorp,142.75,149.41,150.88,140.32,298683,131.79,23.03,Neutral,Alza
2026-04-09,TechCorp,102.54,109.07,112.37,98.66,284677,111.61,12.62,Positivo,Alza
2026-04-10,TechCorp,110.79,115.93,116.81,106.89,76790,138.17,24.95,Negativo,Alza
